Name,ID,Industry
ITD CEMENTATION INDIA LTD.,ITDCEM,Civil Construction
EMPIRE INDUSTRIES LTD.,EMPIND,Diversified
GRAVISS HOSPITALITY LTD.,GRAVISSHO,Hotels & Resorts
Garware Technical Fibres Ltd,GARFIBRES,Other Textile Products
GARWARE MARINE INDUSTRIES LTD.,GARWAMAR,Other Textile Products
GOA CARBON LTD.-$,GOACARBON,Industrial Minerals
HARDCASTLE & WAUD MFG.CO.LTD.,HARDCAS,Specialty Chemicals
HEG LTD.,HEG,Electrodes
HINDUSTAN COMPOSITES LTD.,HINDCOMPOS,Auto Components & Equipments
HINDUSTAN HOUSING CO.LTD.,ZHINDHSG,Housing Finance Company
HIL LTD.,HIL,Furniture- Home Furnishing- Flooring
INDIAN CARD CLOTHING CO.LTD.,INDIANCARD,Other Textile Products
INTERNATIONAL CONVEYORS LTD.,INTLCONV,Industrial Equipments
JAY SHREE TEA & INDUSTRIES LTD.,JAYSHREETEA,Tea & Coffee
MODERN SHARES & STOCKBROKERS LTD.,MODRNSH,Other Financial Services
OSEASPRE CONSULTANTS LTD.,OSEASPR,Diversified Commercial Services
Huhtamaki India Ltd,HUHTAMAKI,Packaging
PREMIER SYNTHETICS LTD.,PREMSYN,Other Textile Products
R.J.SHAH & CO.LTD.,RJSHAH,Residential- Commercial Projects
SHAH CONSTRUCTION CO.LTD.,SHAHCON,Residential- Commercial Projects
SHALIMAR PAINTS LTD.-$,SHALPAINTS,Paints
SINNAR BIDI UDYOG LTD.,SINNAR,Cigarettes & Tobacco Products
HINDOOSTAN MILLS LTD.,HINDMILL,Other Textile Products
SOUTHERN GAS LTD.,ZSOUTGAS,Commodity Chemicals
TECHNOJET CONSULTANTS LTD.,TECHCON,Consulting Services
SUPREME INDUSTRIES LTD.,SUPREMEIND,Plastic Products - Industrial
THACKER & CO.LTD.,THACKER,Other Financial Services
U.P.HOTELS LTD.,UPHOT,Hotels & Resorts
VST INDUSTRIES LTD.,VSTIND,Cigarettes & Tobacco Products
SWASTI VINAYAKA SYNTHETICS LTD.,SWASTIVI,Other Textile Products
MADHUSUDAN SECURITIES LTD.,MADHUSE,Non Banking Financial Company (NBFC)
YAMINI INVESTMENTS COMPANY LTD.,YAMNINV,Investment Company
PREMIER CAPITAL SERVICES LTD.,PREMCAP,Other Electrical Equipment
JINDAL DRILLING & INDUSTRIES LTD.,JINDRILL,Offshore Support Solution Drilling
KUSAM ELECTRICAL INDUSTRIES LTD.,KUSUMEL,Trading & Distributors
JUMBO FINANCE LTD.,JUMBFNL,Diversified Commercial Services
SAKTHI FINANCE LTD.,SAKTHIFIN,Investment Company
Easy Fincorp Ltd,EASYFIN,Non Banking Financial Company (NBFC)
SAT INDUSTRIES LTD.-$,SATINDLTD,Investment Company
TIVOLI CONSTRUCTION LTD.,TVOLCON,Residential- Commercial Projects
SHIVA TEXYARN LTD.,SHIVTEX,Other Textile Products
V.B.DESAI FINANCIAL SERVICES LTD.,VBDESAI,Other Financial Services
Quadrant Televentures Limited-$,QUADRANT,Telecom - Cellular & Fixed line services
FIRST CUSTODIAN FUND (INDIA) LTD.,1STCUS,Non Banking Financial Company (NBFC)
KAMANWALA HOUSING CONSTRUCTION LTD.,KAMANWALA,Residential- Commercial Projects
